Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 13 Apr 2022 09:14:27 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1909-0002-IDN,1909,0002,,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1909,,,1909,,,40,,,,,,,,,,,3.323258181,,,,
1914-0022-IDN,1914,0022,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kepahyang, Bengkulu (Sumatera)",,Tsunami/Tidal wave,,,,,,8,Richter,-3.924,101.82,03:07,,1914,6,26,1914,6,26,20,20,,,20,,,,,,,3.704817454,,,,
1917-0003-IDN,1917,0003,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,,,,,7,Richter,-7,116,07:08,,1917,1,21,1917,1,21,15000,,,,,,,,,,,4.738719999,,,,
1919-0001-IDN,1919,0001,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,Small Island between Java and Sumatra,,,,,No,No,,,,,,,,1919,5,,1919,5,,5000,,,,,,,,,,,6.412657453,,,,
1924-0007-IDN,1924,0007,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Wonosobo (Central Java),,,,,,,,,Richter,-7.21,109.56,,,1924,12,2,1924,12,2,727,,,11250,11250,,,,,,,6.338807272,,,,
1927-0014-IDN,1927,0014,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sulawesi, Donggala",,Tsunami/Tidal wave,,,,,,6,Richter,-0.842,120.764,11:37,,1927,12,1,1927,12,1,50,50,,,50,,,,,,,6.424965817,,,,
1928-0012-IDN,1928,0012,,Natural,Geophysical,Earthquake,Tsunami,,,Indonesia,IDN,South-Eastern Asia,Asia,Flores sea,Volacno and landslide,,,,No,No,,3,Richter,8.30 S,121.70 E,,,1928,8,4,1928,8,4,128,,,,,,,,,,,6.351115635,,,,
1930-0003-IDN,1930,0003,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Java Island,,,,,,,,,,,,,,1930,,,1930,,,1369,,,,,,,,,,,6.178798544,,,,
1931-0012-IDN,1931,0012,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1931,12,13,1931,12,13,1300,,,,,,,,,,,5.624922181,,,,
1932-0009-IDN,1932,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kakas, Langowan, Poso, Tondano (North Sulawesi)",,,,,,,,7,Richter,0.5,126,21:08,,1932,5,14,1932,5,14,6,115,,2960,3075,,,,,,,5.04642909,,,,
1936-0015-IDN,1936,0015,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banda Aceh, Lhok Sukon, Lhoksemawe",,Tsunami/Tidal wave,,,,,,7,Richter,6.1,94.7,04:12,,1936,8,24,1936,8,24,9,20,,,20,,,,,,,5.132587635,,,,
1936-0011-IDN,1936,0011,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tapanuli, Karo (North Sumatera)",,,,,,,,,Richter,3.5,97.5,,,1936,9,9,1936,9,9,17,,,,,,,,,,,5.132587635,,,,
1938-0009-IDN,1938,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Tomini Gulf (Central Sulawesi),,Tsunami/Tidal wave,,,,,,8,Richter,-0.557,118.881,01:08,,1938,5,20,1938,5,20,,,920,4710,5630,,,,,,,5.206437817,,,,
1942-0027-IDN,1942,0027,,Technological,Technological,Transport accident,Air,,Short S-23,Indonesia,IDN,South-Eastern Asia,Asia,"Near Kupang, Timor",,,,,,,,,,,,,,1942,1,30,1942,1,30,13,,,,,,,,,,,6.043406544,,,,
