Year,Drought types,0
2000,Ecology,1
2001,Agriculture ,1
2001,Ecology,1
2002,Agriculture ,1
2002,Ecology,1
2003,Hygrology,1
2004,Ecology,2
2006,Agriculture ,1
2008,Agriculture ,1
2009,Ecology,1
2009,Meteorology,1
2011,Agriculture ,1
2012,Agriculture ,1
2012,Ecology,1
2012,Meteorology,1
2013,Agriculture ,2
2014,Agriculture ,2
2015,Agriculture ,2
2016,Agriculture ,5
2016,Hygrology,1
2016,Meteorology,1
2017,Agriculture ,3
2017,Ecology,4
2017,Hygrology,1
2017,Meteorology,2
2018,Agriculture ,5
2018,Ecology,1
2018,Hygrology,6
2018,Meteorology,2
2019,Agriculture ,14
2019,Hygrology,2
2019,Meteorology,2
2020,Agriculture ,8
2020,Hygrology,3
2020,Meteorology,2
2021,Agriculture ,9
2021,Ecology,4
2021,Hygrology,1
2021,Meteorology,6
2022,Agriculture ,1
