Year,Extent_km2,Resolution_m
2015,168000,250
2015,25370,500
2016,5291,250
2020,513120,1000
2019,7856,30
2017,4096,30
2021,32801,30
2020,1390,30
2020,32801,30
2017,4576,30
2018,1919440,8000
2019,168660,1000
2019,513120,1000
2001,127347,100
2021,13900,1000
2018,31423,1000
2019,79385,30
2019,49131,250
2018,47156,1000
2019,52504,250
2021,618783,28000
2014,300000,1000
2008,4663,250
2019,4500000,55000
2019,10322,1000
2016,4500000,1000
2021,4161,250
2021,513120,1000
2021,31423,500
2013,168000,250
2016,300000,56000
2019,52389,250
2018,4418,30
2011,40000,500
2016,6686,500
2013,1938745,12500
2002,488,56000
2017,755,30
2019,6686,500
2021,102,30
2021,795000,1000
2019,2528,30
2006,438,40000
2020,40816,250
2012,618783,1000
2020,40577,30
2018,10350,250
2014,618785,1000
2019,1868,30
2019,2360,30
2019,40000,1000
2020,181035,1000
2020,1825,30
2021,154000,1000
2020,795000,28000
2017,156000,1000
2017,1904569,1000
2009,743330,1000
2004,1904569,40000
2001,127347,1000
2002,755000,1000
2004,539237,500
2012,746000,1100
2017,743330,45000
2021,40000,500
2021,19023,1000
2021,96077,1000
2000,1904569,1000
2017,1904569,10000
2017,18580,1000
2019,55000,10000
2020,50000,500
2020,3000,30
2018,85800,500
2018,571000,27000
2016,32197,30
2003,95000,37000
2021,85800,30
2018,131587,100000
2018,12000,28000
2020,795000,100000
2017,11900,27000
2019,120000,100000
2016,15026,1000
2021,795000,100000
2018,331690,10000
2020,331212,1000
2020,6042,5000
2017,618783,5500
2021,4500000,10000
2021,53800,27000
2021,1904569,27000
2021,128297,1000
2019,47932,27700
2021,132265,100000
2009,1904569,8000
2018,71600,27000
2012,1904569,27700
2020,795000,28000
2017,1904569,55000
2021,169020,27000
2021,138793,27000
